,steps,rewards,successes,failure_rate,undos,pos_rewards,neg_rewards
0,34.091,-7.069725292352113,0.20400000000000001,0.796,7.567,0.20400000000000001,-7.273725292352115
1,34.791,-3.695560823788286,0.1785,0.8215,8.0305,0.1785,-3.8740608237882856
2,33.116,-2.157258736060326,0.2445,0.7555000000000001,7.369999999999999,0.2445,-2.401758736060326
3,30.948999999999998,-3.270637065914265,0.311,0.6890000000000001,6.7509999999999994,0.311,-3.581637065914265
4,31.36,-2.9850071277581574,0.292,0.708,7.2645,0.292,-3.277007127758157
5,30.733000000000004,-2.3965017307380037,0.318,0.682,6.9035,0.318,-2.7145017307380037
6,31.884,-2.1649688840003227,0.2855,0.7145,7.3025,0.2855,-2.450468884000323
7,32.054,-1.60848330132581,0.2905,0.7095,7.2355,0.2905,-1.89898330132581
8,30.889000000000003,-2.552512796181128,0.323,0.677,6.7115,0.323,-2.8755127961811278
9,32.0895,-1.691638669862172,0.27,0.73,7.3365,0.27,-1.9616386698621717
10,30.368000000000002,-1.8933382939738155,0.346,0.654,6.601,0.346,-2.239338293973815
11,30.697,-2.588275875601706,0.314,0.686,6.6955,0.314,-2.902275875601706
12,31.8315,-2.0730374340267845,0.28400000000000003,0.716,7.102,0.28400000000000003,-2.3570374340267843
13,32.404,-1.616934677770269,0.276,0.724,7.1425,0.276,-1.8929346777702691
14,29.029,-2.258375752813961,0.398,0.602,6.1665,0.398,-2.6563757528139615
15,27.9865,-1.4239133623530853,0.4295,0.5705,5.7575,0.4295,-1.853413362353085
16,27.8315,-1.0255020949987013,0.44199999999999995,0.558,5.6080000000000005,0.44199999999999995,-1.467502094998701
17,27.116,-0.9456026978482448,0.4655,0.5345,5.5125,0.4655,-1.411102697848245
18,27.092,-1.5276517929315383,0.48150000000000004,0.5185,5.446,0.48150000000000004,-2.0091517929315383
19,26.613999999999997,-2.0132551127272973,0.49050000000000005,0.5095000000000001,5.2829999999999995,0.49050000000000005,-2.5037551127272972
20,25.0605,-1.337403906755669,0.5585,0.44149999999999995,4.805,0.5585,-1.8959039067556687
21,26.633000000000003,-1.1089674511518863,0.484,0.516,5.4365000000000006,0.484,-1.5929674511518863
22,28.261000000000003,-1.1330931628237084,0.4095,0.5905,5.9305,0.4095,-1.5425931628237086
23,27.597,-1.916531328299524,0.445,0.5549999999999999,5.535500000000001,0.445,-2.361531328299524
24,27.404,-2.6392930669392074,0.447,0.553,5.5825,0.447,-3.086293066939207
25,28.5275,-2.875936541722072,0.398,0.6020000000000001,5.9935,0.398,-3.2739365417220716
26,28.316,-3.584373455105331,0.4,0.6,5.861,0.4,-3.984373455105331
27,25.7895,-2.732550791723649,0.49450000000000005,0.5055,5.2105,0.49450000000000005,-3.227050791723649
28,25.7155,-2.4022060921481785,0.509,0.49100000000000005,5.140499999999999,0.509,-2.9112060921481784
29,23.5945,-1.9880202697589897,0.571,0.429,4.5215,0.571,-2.5590202697589897
30,22.192,-1.7444366044187027,0.611,0.389,4.2405,0.611,-2.3554366044187027
31,22.3015,-1.3641901329221129,0.5974999999999999,0.4025,4.2715,0.5974999999999999,-1.9616901329221128
32,24.493000000000002,-0.48256648186869505,0.527,0.473,5.2325,0.527,-1.0095664818686951
33,22.8385,-0.9471424120111682,0.5900000000000001,0.41,4.535,0.5900000000000001,-1.5371424120111685
34,23.023000000000003,-2.5739024988070844,0.5675,0.4325,4.447,0.5675,-3.141402498807084
35,23.234,-2.5495897365094056,0.5780000000000001,0.422,4.47,0.5780000000000001,-3.127589736509405
36,23.514000000000003,-2.8972130812847383,0.5795,0.4205,4.4925,0.5795,-3.4767130812847387
37,23.192500000000003,-2.707619405719062,0.5880000000000001,0.412,4.452,0.5880000000000001,-3.295619405719062
38,23.7775,-3.1287931323320706,0.5585,0.4415,4.720000000000001,0.5585,-3.6872931323320697
39,24.1785,-2.8778837878814088,0.537,0.463,4.8175,0.537,-3.4148837878814082
