,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
8925,-100,1,-100.0,0,0,1
8926,-16,17,-14.854222890512437,1,0,0
8927,-18,19,-16.548623854991238,1,0,0
8928,-14,15,-13.12541872310217,1,0,0
8929,-16,17,-14.854222890512437,1,0,0
8930,-14,15,-13.12541872310217,1,0,0
8931,-20,21,-18.20930624027691,1,0,0
8932,-14,15,-13.12541872310217,1,0,0
8933,-22,23,-19.836941046095397,1,0,0
8934,-17,18,-15.705680661607312,1,1,0
8935,-18,19,-16.548623854991238,1,0,0
8936,-20,21,-18.20930624027691,1,2,0
8937,-16,17,-14.854222890512437,1,0,0
8938,-16,17,-14.854222890512437,1,0,0
8939,-16,17,-14.854222890512437,1,0,0
8940,-14,15,-13.12541872310217,1,0,0
8941,-16,17,-14.854222890512437,1,0,0
8942,-14,15,-13.12541872310217,1,0,0
8943,-17,18,-15.705680661607312,1,1,0
8944,-14,15,-13.12541872310217,1,0,0
8945,-20,21,-18.20930624027691,1,0,0
8946,-14,15,-13.12541872310217,1,0,0
8947,-16,17,-14.854222890512437,1,0,0
8948,-18,19,-16.548623854991238,1,0,0
8949,-20,21,-18.20930624027691,1,0,0
8950,-18,19,-16.548623854991238,1,0,0
8951,-20,21,-18.20930624027691,1,0,0
8952,-15,16,-13.994164535871148,1,1,0
8953,-14,15,-13.12541872310217,1,0,0
8954,-14,15,-13.12541872310217,1,0,0
8955,-16,17,-14.854222890512437,1,0,0
8956,-14,15,-13.12541872310217,1,0,0
8957,-20,21,-18.20930624027691,1,2,0
8958,-19,20,-17.383137616441324,1,1,0
8959,-16,17,-14.854222890512437,1,0,0
8960,-16,17,-14.854222890512437,1,0,0
8961,-14,15,-13.12541872310217,1,0,0
8962,-15,16,-13.994164535871148,1,1,0
8963,-16,17,-14.854222890512437,1,0,0
8964,-18,19,-16.548623854991238,1,0,0
8965,-14,15,-13.12541872310217,1,0,0
8966,-16,17,-14.854222890512437,1,0,0
8967,-18,19,-16.548623854991238,1,0,0
8968,-100,1,-100.0,0,0,1
8969,-16,17,-14.854222890512437,1,0,0
8970,-18,19,-16.548623854991238,1,0,0
8971,-14,15,-13.12541872310217,1,0,0
8972,-20,21,-18.20930624027691,1,0,0
8973,-14,15,-13.12541872310217,1,0,0
8974,-16,17,-14.854222890512437,1,0,0
8975,-16,17,-14.854222890512437,1,0,0
8976,-14,15,-13.12541872310217,1,0,0
8977,-14,15,-13.12541872310217,1,0,0
8978,-14,15,-13.12541872310217,1,0,0
8979,-16,17,-14.854222890512437,1,0,0
8980,-100,1,-100.0,0,0,1
8981,-14,15,-13.12541872310217,1,0,0
8982,-14,15,-13.12541872310217,1,0,0
8983,-14,15,-13.12541872310217,1,0,0
8984,-14,15,-13.12541872310217,1,0,0
8985,-14,15,-13.12541872310217,1,0,0
8986,-16,17,-14.854222890512437,1,0,0
8987,-14,15,-13.12541872310217,1,0,0
8988,-15,16,-13.994164535871148,1,1,0
8989,-14,15,-13.12541872310217,1,0,0
8990,-16,17,-14.854222890512437,1,0,0
8991,-16,17,-14.854222890512437,1,0,0
8992,-14,15,-13.12541872310217,1,0,0
8993,-14,15,-13.12541872310217,1,0,0
8994,-14,15,-13.12541872310217,1,0,0
8995,-20,21,-18.20930624027691,1,0,0
8996,-14,15,-13.12541872310217,1,0,0
8997,-16,17,-14.854222890512437,1,0,0
8998,-18,19,-16.548623854991238,1,0,0
8999,-16,17,-14.854222890512437,1,0,0
9000,-21,22,-19.02721317787414,1,1,0
9001,-18,19,-16.548623854991238,1,0,0
9002,-14,15,-13.12541872310217,1,0,0
9003,-18,19,-16.548623854991238,1,0,0
9004,-16,17,-14.854222890512437,1,0,0
9005,-100,1,-100.0,0,0,1
9006,-16,17,-14.854222890512437,1,0,0
9007,-16,17,-14.854222890512437,1,0,0
9008,-14,15,-13.12541872310217,1,0,0
9009,-16,17,-14.854222890512437,1,0,0
9010,-14,15,-13.12541872310217,1,0,0
9011,-14,15,-13.12541872310217,1,0,0
9012,-14,15,-13.12541872310217,1,0,0
9013,-15,16,-13.994164535871148,1,1,0
9014,-16,17,-14.854222890512437,1,0,0
9015,-14,15,-13.12541872310217,1,0,0
9016,-16,17,-14.854222890512437,1,0,0
9017,-14,15,-13.12541872310217,1,0,0
9018,-14,15,-13.12541872310217,1,0,0
9019,-14,15,-13.12541872310217,1,0,0
9020,-14,15,-13.12541872310217,1,0,0
9021,-16,17,-14.854222890512437,1,0,0
9022,-18,19,-16.548623854991238,1,0,0
9023,-14,15,-13.12541872310217,1,0,0
9024,-19,20,-17.383137616441324,1,1,0
9025,-16,17,-14.854222890512437,1,0,0
9026,-14,15,-13.12541872310217,1,0,0
9027,-18,19,-16.548623854991238,1,0,0
9028,-14,15,-13.12541872310217,1,0,0
9029,-113,14,-100.0,0,0,1
9030,-14,15,-13.12541872310217,1,0,0
9031,-16,17,-14.854222890512437,1,0,0
9032,-16,17,-14.854222890512437,1,0,0
9033,-16,17,-14.854222890512437,1,0,0
9034,-16,17,-14.854222890512437,1,0,0
9035,-16,17,-14.854222890512437,1,0,0
9036,-14,15,-13.12541872310217,1,0,0
9037,-18,19,-16.548623854991238,1,2,0
9038,-16,17,-14.854222890512437,1,0,0
9039,-20,21,-18.20930624027691,1,0,0
9040,-14,15,-13.12541872310217,1,0,0
9041,-18,19,-16.548623854991238,1,0,0
9042,-16,17,-14.854222890512437,1,2,0
9043,-16,17,-14.854222890512437,1,0,0
9044,-16,17,-14.854222890512437,1,0,0
9045,-16,17,-14.854222890512437,1,0,0
9046,-18,19,-16.548623854991238,1,0,0
9047,-16,17,-14.854222890512437,1,0,0
9048,-14,15,-13.12541872310217,1,0,0
9049,-17,18,-15.705680661607312,1,1,0
9050,-15,16,-13.994164535871148,1,1,0
9051,-14,15,-13.12541872310217,1,0,0
9052,-14,15,-13.12541872310217,1,0,0
9053,-106,7,-100.0,0,1,1
9054,-16,17,-14.854222890512437,1,0,0
9055,-18,19,-16.548623854991238,1,0,0
9056,-14,15,-13.12541872310217,1,0,0
9057,-18,19,-16.548623854991238,1,0,0
9058,-14,15,-13.12541872310217,1,0,0
9059,-14,15,-13.12541872310217,1,0,0
9060,-16,17,-14.854222890512437,1,0,0
9061,-14,15,-13.12541872310217,1,0,0
9062,-16,17,-14.854222890512437,1,0,0
9063,-19,20,-17.383137616441324,1,1,0
9064,-16,17,-14.854222890512437,1,0,0
9065,-15,16,-13.994164535871148,1,1,0
9066,-17,18,-15.705680661607312,1,1,0
9067,-14,15,-13.12541872310217,1,0,0
9068,-14,15,-13.12541872310217,1,0,0
9069,-18,19,-16.548623854991238,1,0,0
9070,-14,15,-13.12541872310217,1,0,0
9071,-16,17,-14.854222890512437,1,0,0
9072,-20,21,-18.20930624027691,1,0,0
9073,-14,15,-13.12541872310217,1,0,0
9074,-18,19,-16.548623854991238,1,0,0
9075,-18,19,-16.548623854991238,1,0,0
9076,-14,15,-13.12541872310217,1,0,0
9077,-16,17,-14.854222890512437,1,0,0
9078,-14,15,-13.12541872310217,1,0,0
9079,-14,15,-13.12541872310217,1,0,0
9080,-17,18,-15.705680661607312,1,1,0
9081,-14,15,-13.12541872310217,1,0,0
9082,-17,18,-15.705680661607312,1,1,0
9083,-16,17,-14.854222890512437,1,0,0
9084,-14,15,-13.12541872310217,1,0,0
9085,-16,17,-14.854222890512437,1,0,0
9086,-17,18,-15.705680661607312,1,1,0
9087,-14,15,-13.12541872310217,1,0,0
9088,-100,1,-100.0,0,0,1
9089,-15,16,-13.994164535871148,1,1,0
9090,-16,17,-14.854222890512437,1,0,0
9091,-20,21,-18.20930624027691,1,0,0
9092,-14,15,-13.12541872310217,1,0,0
9093,-14,15,-13.12541872310217,1,0,0
9094,-14,15,-13.12541872310217,1,0,0
9095,-17,18,-15.705680661607312,1,1,0
9096,-14,15,-13.12541872310217,1,0,0
9097,-18,19,-16.548623854991238,1,0,0
9098,-15,16,-13.994164535871148,1,1,0
9099,-14,15,-13.12541872310217,1,0,0
9100,-16,17,-14.854222890512437,1,0,0
9101,-16,17,-14.854222890512437,1,0,0
9102,-16,17,-14.854222890512437,1,0,0
9103,-16,17,-14.854222890512437,1,0,0
9104,-21,22,-19.02721317787414,1,3,0
9105,-100,1,-100.0,0,0,1
9106,-15,16,-13.994164535871148,1,1,0
9107,-16,17,-14.854222890512437,1,0,0
9108,-16,17,-14.854222890512437,1,0,0
9109,-20,21,-18.20930624027691,1,0,0
9110,-18,19,-16.548623854991238,1,0,0
9111,-14,15,-13.12541872310217,1,0,0
9112,-14,15,-13.12541872310217,1,0,0
9113,-16,17,-14.854222890512437,1,0,0
9114,-14,15,-13.12541872310217,1,0,0
9115,-14,15,-13.12541872310217,1,0,0
9116,-14,15,-13.12541872310217,1,0,0
9117,-18,19,-16.548623854991238,1,2,0
9118,-18,19,-16.548623854991238,1,0,0
9119,-16,17,-14.854222890512437,1,0,0
9120,-14,15,-13.12541872310217,1,0,0
9121,-14,15,-13.12541872310217,1,0,0
9122,-18,19,-16.548623854991238,1,0,0
9123,-100,1,-100.0,0,0,1
9124,-18,19,-16.548623854991238,1,0,0
9125,-16,17,-14.854222890512437,1,0,0
9126,-18,19,-16.548623854991238,1,2,0
9127,-16,17,-14.854222890512437,1,0,0
9128,-20,21,-18.20930624027691,1,0,0
9129,-20,21,-18.20930624027691,1,0,0
