,learning_rewards,learning_steps,learning_discounted_rewards,learning_success,learning_collision,learning_fell_into_cliff
98,-70.0,20.5,-8.009477295413964,0.0,2.0,0.5
99,-67.0,17.5,-21.413300896486085,0.0,1.5,0.5
100,-70.0,20.5,-8.009477295413964,0.0,2.0,0.5
101,-102.0,3.0,-63.35314392529774,0.0,1.0,1.0
102,-102.5,3.5,-58.33967454715979,0.0,0.5,1.0
103,-113.5,14.5,-9.533835836554093,0.0,1.5,1.0
104,-105.0,6.0,-38.977587774244085,0.0,0.5,1.0
105,-30.0,30.0,-4.392852698652579,0.0,5.5,0.0
106,-70.5,21.0,-7.186752430937391,0.0,2.0,0.5
107,-103.0,4.0,-49.9375161439598,0.0,0.0,1.0
108,-66.0,16.5,-32.91706794612629,0.0,1.5,0.5
109,-102.5,3.5,-58.33967454715979,0.0,1.5,1.0
110,-68.5,19.0,-12.238352591654769,0.0,3.0,0.5
111,-66.0,16.5,-32.91706794612629,0.0,2.0,0.5
112,-101.0,2.0,-80.7206415968,0.0,1.0,1.0
113,-69.0,19.5,-10.453372526770378,0.0,1.5,0.5
114,-103.5,4.5,-46.06483164200087,0.0,1.0,1.0
115,-101.5,2.5,-69.8434415968,0.0,0.5,1.0
116,-66.0,16.5,-32.91706794612629,0.0,4.0,0.5
117,-116.0,17.0,-26.454499898215527,0.0,3.5,1.0
118,-115.0,16.0,-7.010515543807328,0.0,2.0,1.0
119,-111.0,12.0,-21.872582767270135,0.0,2.0,1.0
120,-65.5,16.0,-41.319226349326286,0.0,4.5,0.5
121,-117.0,18.0,-10.51242246709283,0.0,2.0,1.0
122,-102.5,3.5,-54.950985522097746,0.0,1.5,1.0
123,-102.0,3.0,-69.21687454715979,0.0,1.0,1.0
124,-105.5,6.5,-37.59876921324375,0.0,0.5,1.0
125,-106.5,7.5,-23.601136222644953,0.0,0.5,1.0
126,-111.5,12.5,-13.007428169103628,0.0,1.5,1.0
127,-65.0,15.5,-52.19642634932629,0.0,4.0,0.5
128,-104.0,5.0,-58.25694617744409,0.0,1.0,1.0
129,-68.5,19.0,-12.238352591654769,0.0,3.0,0.5
130,-117.0,18.0,-5.621210146885492,0.0,3.5,1.0
131,-104.5,5.5,-56.87812761644375,0.0,1.0,1.0
132,-113.0,14.0,-52.25547628964874,0.0,3.0,1.0
133,-110.5,11.5,-52.4086290475622,0.0,3.5,1.0
134,-106.5,7.5,-23.601136222644953,0.0,4.5,1.0
135,-102.5,3.5,-54.950985522097746,0.0,0.5,1.0
136,-108.5,9.5,-33.91241164813645,0.0,1.5,1.0
137,-30.0,30.0,-4.392852698652579,0.0,5.5,0.0
138,-104.5,5.5,-36.58305559085343,0.0,0.0,1.0
139,-68.0,18.5,-14.54913801488197,0.0,3.5,0.5
140,-106.5,7.5,-43.477607323696986,0.0,0.5,1.0
141,-109.5,10.5,-13.24727225905519,0.0,1.5,1.0
142,-103.5,4.5,-51.47551166555568,0.0,0.5,1.0
143,-100.5,1.5,-89.1228,0.0,0.5,1.0
144,-112.0,13.0,-52.294746443073386,0.0,1.0,1.0
145,-68.0,18.5,-14.54913801488197,0.0,6.0,0.5
146,-122.5,23.5,-5.18965789969293,0.0,4.5,1.0
147,-102.5,3.5,-54.950985522097746,0.0,0.5,1.0
148,-65.0,15.5,-52.19642634932629,0.0,1.0,0.5
149,-100.5,1.5,-89.1228,0.0,0.5,1.0
150,-103.0,4.0,-49.9375161439598,0.0,0.0,1.0
151,-111.0,12.0,-52.36055995956371,0.0,1.0,1.0
152,-107.0,8.0,-53.48469045659099,0.0,0.0,1.0
153,-101.0,2.0,-80.7206415968,0.0,0.0,1.0
154,-113.5,14.5,-10.808363926317643,0.0,0.5,1.0
155,-117.5,18.5,-14.576867638473463,0.0,3.0,1.0
156,-116.5,17.5,-6.763436371259186,0.0,0.5,1.0
157,-105.0,6.0,-31.569586212715475,0.0,0.5,1.0
158,-79.0,29.5,-4.428470598989417,0.0,8.0,0.5
159,-113.0,14.0,-12.593343991202033,0.0,1.5,1.0
160,-109.5,10.5,-27.195845852072896,0.0,1.5,1.0
161,-108.5,9.5,-19.69899736889785,0.0,2.5,1.0
162,-102.5,3.5,-58.33967454715979,0.0,1.5,1.0
163,-106.0,7.0,-31.108471541741494,0.0,2.0,1.0
164,-66.0,16.5,-32.91706794612629,0.0,3.0,0.5
165,-101.5,2.5,-74.23034392529775,0.0,0.5,1.0
166,-105.0,6.0,-30.68838009040173,0.0,1.5,1.0
167,-101.5,2.5,-74.23034392529775,0.0,0.5,1.0
168,-77.0,27.5,-4.491172792399672,0.0,6.5,0.5
